voltage,current
-2.000105143,-5.8070704E-4
-1.995111942,-5.7692841E-4
-1.990116715,-5.7105657E-4
-1.985120773,-5.6511641E-4
-1.980125427,-5.5929754E-4
-1.975131392,-5.5355005E-4
-1.970135093,-5.4784354E-4
-1.965128541,-5.4227218E-4
-1.960122108,-5.3674001E-4
-1.955117702,-5.3136382E-4
-1.950109839,-5.2609157E-4
-1.945104957,-5.2080262E-4
-1.940098882,-5.1554333E-4
-1.935090899,-5.1042397E-4
-1.930087805,-5.0507504E-4
-1.925080538,-4.9948618E-4
-1.920073628,-4.9501497E-4
-1.915067077,-4.8984136E-4
-1.910061717,-4.8483182E-4
-1.90505445,-4.8038546E-4
-1.900048494,-4.7589567E-4
-1.895051003,-4.7103044E-4
-1.890043974,-4.6655133E-4
-1.885033607,-4.6266597E-4
-1.880029082,-4.5781065E-4
-1.875022769,-4.5341983E-4
-1.870017171,-4.4954684E-4
-1.865010381,-4.4504285E-4
-1.860005021,-4.4098422E-4
-1.85499835,-4.3697778E-4
-1.849992275,-4.3313883E-4
-1.844984412,-4.2937163E-4
-1.839977026,-4.255959E-4
-1.834970474,-4.2179462E-4
-1.829965234,-4.1809943E-4
-1.824975491,-4.1453816E-4
-1.819980383,-4.1098062E-4
-1.814985752,-4.0740553E-4
-1.809989333,-4.0389292E-4
-1.804996848,-4.0050138E-4
-1.800002217,-3.974551E-4
-1.79500699,-3.9374869E-4
-1.790013433,-3.9048839E-4
-1.785054088,-3.8720366E-4
-1.780060291,-3.8396422E-4
-1.775063276,-3.8079299E-4
-1.770070314,-3.7767973E-4
-1.765073776,-3.744984E-4
-1.76007998,-3.7140433E-4
-1.75509429,-3.6837984E-4
-1.750099301,-3.6540914E-4
-1.745105267,-3.6240984E-4
-1.740108132,-3.5944767E-4
-1.735114694,-3.5646576E-4
-1.730120778,-3.5359625E-4
-1.725125194,-3.508427E-4
-1.720133543,-3.480101E-4
-1.715139389,-3.4517415E-4
-1.710145473,-3.4242179E-4
-1.705150008,-3.3970971E-4
-1.700154424,-3.3702906E-4
-1.695159197,-3.3425376E-4
-1.690164566,-3.315939E-4
-1.685165524,-3.2900255E-4
-1.680160642,-3.2640819E-4
-1.675155759,-3.2385342E-4
-1.670150399,-3.2129925E-4
-1.665143251,-3.1878609E-4
-1.660138249,-3.1630013E-4
-1.655132771,-3.1386841E-4
-1.650128603,-3.1142794E-4
-1.645124555,-3.0900229E-4
-1.640120149,-3.0659717E-4
-1.635113597,-3.0424308E-4
-1.63010788,-3.0194294E-4
-1.625102282,-2.9962311E-4
-1.620096087,-2.9729726E-4
-1.615098715,-2.9503286E-4
-1.610094905,-2.9282806E-4
-1.605089664,-2.9059926E-4
-1.600082397,-2.8836574E-4
-1.595077395,-2.8617676E-4
-1.590070844,-2.8403807E-4
-1.585065722,-2.8190354E-4
-1.580061197,-2.7977344E-4
-1.575056791,-2.776593E-4
-1.570051551,-2.7558735E-4
-1.565045595,-2.7353346E-4
-1.560041189,-2.7147757E-4
-1.555034041,-2.6944708E-4
-1.550026059,-2.6745226E-4
-1.545028448,-2.6546137E-4
-1.540036678,-2.6349204E-4
-1.535040498,-2.6155753E-4
-1.53004694,-2.5962956E-4
-1.52508688,-2.5771338E-4
-1.520090699,-2.5580505E-4
-1.51509428,-2.539454E-4
-1.510100484,-2.5209995E-4
-1.505108476,-2.502312E-4
-1.500112534,-2.4839135E-4
-1.495116353,-2.4659218E-4
-1.490122557,-2.4481278E-4
-1.485127807,-2.430211E-4
-1.480130911,-2.4123717E-4
-1.475142121,-2.3949061E-4
-1.470148683,-2.377679E-4
-1.465154886,-2.3604447E-4
-1.460159302,-2.3433747E-4
-1.455164909,-2.3265202E-4
-1.450169563,-2.3097528E-4
-1.445176363,-2.2930516E-4
-1.440178752,-2.2765866E-4
-1.435186148,-2.2603899E-4
-1.430190444,-2.2440623E-4
-1.42519486,-2.2278599E-4
-1.420199752,-2.211972E-4
-1.415204883,-2.1964107E-4
-1.410210729,-2.1806385E-4
-1.405213714,-2.1648947E-4
-1.400208592,-2.1494796E-4
-1.395202756,-2.1342751E-4
-1.390197754,-2.1190286E-4
-1.385190606,-2.1038612E-4
-1.380184412,-2.0889372E-4
-1.375178337,-2.0741835E-4
-1.370172262,-2.0593408E-4
-1.365166903,-2.0447196E-4
-1.360161066,-2.0302339E-4
-1.355153918,-2.0158058E-4
-1.350147486,-2.001504E-4
-1.345140576,-1.9873349E-4
-1.34013629,-1.9734452E-4
-1.335128546,-1.9595029E-4
-1.330131054,-1.9455668E-4
-1.325123072,-1.9318361E-4
-1.320117116,-1.9183215E-4
-1.315111518,-1.9048961E-4
-1.310103893,-1.8913224E-4
-1.305097938,-1.878028E-4
-1.300092459,-1.8650057E-4
-1.295087337,-1.8519685E-4
-1.290080428,-1.8388782E-4
-1.285072207,-1.8259373E-4
-1.280068398,-1.8132323E-4
-1.275060058,-1.8006308E-4
-1.270090342,-1.7880378E-4
-1.265082836,-1.7754545E-4
-1.260089517,-1.7632676E-4
-1.255094767,-1.751004E-4
-1.250098944,-1.7387092E-4
-1.24510181,-1.7265823E-4
-1.240106821,-1.7146578E-4
-1.235110283,-1.7027441E-4
-1.230115414,-1.6907958E-4
-1.225121617,-1.6790399E-4
-1.220126033,-1.6675552E-4
-1.215129495,-1.6559305E-4
-1.210132241,-1.6442966E-4
-1.205137491,-1.6329115E-4
-1.200142622,-1.6217144E-4
-1.195144057,-1.6104149E-4
-1.19015789,-1.5991926E-4
-1.185162067,-1.5881395E-4
-1.180167794,-1.5772402E-4
-1.175169587,-1.5662894E-4
-1.170174122,-1.5554275E-4
-1.16517818,-1.5446928E-4
-1.160181761,-1.5340493E-4
-1.155188322,-1.5234274E-4
-1.150192142,-1.5129468E-4
-1.145196795,-1.5025468E-4
-1.140200019,-1.4921169E-4
-1.135202289,-1.4816827E-4
-1.1302073,-1.4714105E-4
-1.125211358,-1.4615226E-4
-1.120210648,-1.451303E-4
-1.115204215,-1.441136E-4
-1.110196471,-1.4311929E-4
-1.105189085,-1.4215194E-4
-1.100179553,-1.4115902E-4
-1.095173359,-1.4017077E-4
-1.09016645,-1.3920067E-4
-1.08516109,-1.3825668E-4
-1.080153227,-1.3729062E-4
-1.075146914,-1.3633694E-4
-1.070138931,-1.3540545E-4
-1.065132141,-1.3446932E-4
-1.060123444,-1.3353402E-4
-1.055116653,-1.326062E-4
-1.050117135,-1.3169297E-4
-1.045110822,-1.3078666E-4
-1.040103793,-1.2987481E-4
-1.035096645,-1.28975E-4
-1.030088186,-1.2809071E-4
-1.025080085,-1.2720329E-4
-1.020071387,-1.2632039E-4
-1.015066862,-1.2544563E-4
-1.010093689,-1.2459635E-4
-1.005086064,-1.2372323E-4
-1.000079393,-1.2286121E-4
-0.99507153,-1.2201476E-4
-0.990065157,-1.2116917E-4
-0.985054851,-1.2032339E-4
-0.980055928,-1.1949287E-4
-0.975061297,-1.1867005E-4
-0.970065951,-1.1785181E-4
-0.96506995,-1.1702877E-4
-0.960074306,-1.162226E-4
-0.955078781,-1.154153E-4
-0.950081766,-1.1462182E-4
-0.945085764,-1.138168E-4
-0.940091193,-1.1302527E-4
-0.935096383,-1.122485E-4
-0.930098057,-1.1147117E-4
-0.925103962,-1.1069445E-4
-0.920107305,-1.099173E-4
-0.915110707,-1.0916053E-4
-0.910119116,-1.0840639E-4
-0.905124485,-1.0764547E-4
-0.900129974,-1.0689455E-4
-0.895134151,-1.0615679E-4
-0.890136719,-1.0541553E-4
-0.885141015,-1.0467967E-4
-0.880146146,-1.039461E-4
-0.875147879,-1.0321993E-4
-0.870153129,-1.0249904E-4
-0.865157306,-1.0178179E-4
-0.860161602,-1.0106985E-4
-0.85516423,-1.0036223E-4
-0.850189567,-9.965274E-5
-0.845193565,-9.895237E-5
-0.840195894,-9.825961E-5
-0.835190654,-9.757361E-5
-0.830184579,-9.687839E-5
-0.825178146,-9.619888E-5
-0.820170999,-9.552094E-5
-0.815163374,-9.484878E-5
-0.810157478,-9.417523E-5
-0.805150688,-9.350798E-5
-0.800146937,-9.284883E-5
-0.795137823,-9.219679E-5
-0.790132046,-9.153293E-5
-0.785123706,-9.088224E-5
-0.780116737,-9.024003E-5
-0.775110662,-8.960223E-5
-0.770104527,-8.896437E-5
-0.765105367,-8.832802E-5
-0.760096431,-8.76991E-5
-0.75508976,-8.707665E-5
-0.75011766,-8.645705E-5
-0.745111585,-8.583118E-5
-0.740104616,-8.522511E-5
